AMD Radeon VII,906%
Radeon RX Vega 64,894%
AMD Radeon RX 5600 XT,584%
Radeon RX Vega 56,410%
AMD Radeon RX 5700 XT 50th Anniversary,365%
AMD Radeon (TM) RX 480 Graphics,355%
AMD Radeon RX 5700 XT,341%
AMD Radeon RX 5700,339%
Radeon RX 580 Series,267%
Radeon RX 570 Series,213%
Radeon (TM) Pro WX 9100,211%
Radeon (TM) RX 480 Graphics,209%
Radeon (TM) RX 470 Graphics,206%
Radeon RX 5500 XT,168%
AMD Radeon (TM) R9 390 Series,166%
Radeon (TM) Pro WX 7100 Graphics,157%
AMD 15D8:C8,154%
Radeon Vega Frontier Edition,150%
AMD RADEON R9 M390,150%
Radeon (TM) 520,148%
AMD FirePro W8100,140%
Radeon RX 590 Series,130%
Radeon RX 560 Series,120%
Radeon RX Vega M GL Graphics,116%
AMD Radeon R9 200 Series,113%
AMD Radeon (TM) R9 200 Series,99%
AMD Radeon(TM) Graphics,97%
Radeon RX 560X Series,83%
Radeon RX 560X,82%
AMD 15D8:C9,81%
Unknown AMD GPU,76%
Radeon(TM) RX 460 Graphics,73%
Radeon (TM) RX 550,72%
Radeon 540X Series,71%
Radeon RX550/550 Series,70%
AMD Radeon R7 240,70%
AMD Radeon R7 240 Series,69%
Radeon(TM) 520,69%
AMD Radeon(TM) Vega 8 Graphics,67%
AMD Radeon(TM) RX Vega 10 Graphics,60%
AMD Radeon(TM) RX Vega 11 Graphics,56%
Radeon (TM) HD 8670M,53%
AMD Radeon(TM) Vega 8 Mobile Graphics,51%
AMD Radeon R7 200 Series,49%
AMD Radeon (TM) R7 360 Series,48%
AMD Radeon (TM) R9 380 Series,46%
Radeon(TM) 540 Graphics,42%
Radeon (TM) 530,40%
AMD Radeon (TM) R7 M340,39%
AMD Radeon R7 M440,38%
AMD Radeon R9 M275,33%
Radeon(TM) 530,31%
AMD Mobility Radeon HD 5000 Series,29%
AMD Radeon(TM) Vega 3 Graphics,29%
AMD Radeon R7 Graphics,26%
AMD Radeon(TM) R7 Graphics,25%
AMD Radeon(TM) 530,18%
AMD Radeon(TM) R9 M375,16%
Radeon (TM) R7 M445,15%
