GeForce RTX 3090,1549%
Tesla V100-SXM2-32GB,1513%
GeForce RTX 3080,1432%
Tesla V100-SXM2-1,1387%
Quadro RTX 6000,1057%
GeForce RTX 2080 Ti,1015%
Tesla P100-PCIE-1,963%
TITAN Xp,807%
TITAN Xp COLLECTORS EDITION,779%
Quadro P6000,752%
GeForce RTX 2080 SUPER,723%
Quadro RTX 4000,662%
GeForce RTX 2070 SUPER,643%
GeForce GTX 1080 Ti,592%
GeForce RTX 2060 SUPER,580%
Quadro RTX 5000,562%
TITAN X (Pascal),562%
Quadro P4200,555%
GeForce RTX 2080,520%
Tesla T4,517%
Quadro K6000,510%
GeForce RTX 2070,492%
Quadro P4000,467%
GeForce GTX TITAN X,453%
GeForce GTX 1080,436%
GeForce GTX 1070 Ti,425%
GeForce RTX 2060,422%
Tesla P4,413%
Quadro P3200,411%
Quadro RTX 3000,409%
GeForce GTX 1660 SUPER,408%
Quadro M6000,400%
GeForce GTX 1660,394%
GeForce GTX 1070,390%
GeForce GTX 980 Ti,370%
Tesla K80,368%
GeForce GTX 1660 Ti,349%
Quadro P2200,332%
GeForce GTX TITAN Black,331%
Quadro P5000,302%
GeForce GTX 780 Ti,300%
GeForce GTX 1650 Ti,287%
GeForce GTX 1060,284%
GeForce GTX 980M,282%
Quadro P2000,271%
GeForce GTX 1650 SUPER,266%
GeForce GTX 1060 5GB,246%
GeForce GTX 1060 3GB,244%
GeForce GTX 1060,237%
Tesla M60,237%
GeForce GTX 970,229%
GeForce GTX 1650,228%
Quadro K5200,226%
GeForce GTX 780,222%
GeForce GTX 980,222%
P106-090,216%
GeForce GTX 680,208%
Quadro T1000,199%
GeForce GTX 650 Ti,191%
Quadro M4000,186%
GeForce GTX 1050 Ti,186%
GeForce GTX 770,181%
GeForce GTX 760 (192-bit),180%
GeForce GTX 960,180%
Quadro P1000,173%
GeForce GTX 680MX,170%
GeForce GTX 760,159%
GeForce GTX 670,157%
Quadro 6000,153%
Quadro K4200,153%
GeForce GTX 970M,152%
GeForce GTX 1050,148%
GeForce GTS 450,147%
GeForce GTX 660 Ti,147%
Quadro 2000,140%
GeForce GTX 950,139%
GeForce GTX 965M,139%
Quadro M2200,137%
Quadro M2000,135%
GeForce GTX 460,130%
Quadro K2200,124%
GeForce GTX 870M,120%
GeForce GTX 750,119%
Quadro P600,118%
Quadro M1200,118%
Quadro M1000M,118%
Quadro K2000,117%
GeForce GTX 660,117%
Quadro 600,115%
GeForce GTX 860M,113%
GeForce GTX 745,113%
GeForce GTX 770M,109%
NVS 5400M,106%
NVS 310,104%
Quadro P620,104%
GeForce GT 705,103%
GeForce MX250,100%
GeForce GTX 960M,98%
GeForce GTX 850M,98%
Quadro M2000M,98%
GeForce GT 530,94%
Quadro P520,92%
GeForce GTX 560,91%
GeForce MX150,90%
Quadro K4000,90%
GeForce 210,90%
GeForce GTX 765M,90%
GeForce GTX 750 Ti,89%
GeForce 8800 GT,83%
Quadro K1200,82%
GeForce GTX 950M,79%
GeForce GT 635M,79%
GeForce GTX 550 Ti,78%
Quadro 2000M,78%
GeForce GT 1030,78%
GeForce GTX 560M,73%
GeForce GT 630M,72%
GeForce GTX 570,72%
GeForce GTX 660M,71%
GeForce MX110,70%
GeForce MX230,69%
GeForce GT 555M,69%
GeForce GT 740,67%
GeForce GTX 560 Ti,66%
Quadro K1000M,66%
GeForce MX130,66%
Quadro K3000M,66%
GeForce 930M,64%
Quadro K1100M,63%
GeForce 930MX,63%
Quadro K620,62%
Quadro P400,60%
GeForce GT 750M,57%
GeForce GT 430,57%
GeForce 940MX,56%
Quadro 4000,56%
Quadro K4100M,55%
GeForce GT 730,55%
GeForce 820M,54%
GeForce 940M,54%
Quadro K2000M,52%
Quadro K2100M,52%
GeForce 9400 GT,52%
Quadro M500M,51%
GeForce GT 710,51%
GeForce 710M,50%
GeForce GT 745M,48%
GeForce 920M,48%
GeForce GPU,48%
GeForce GT 640,47%
GeForce 9800 GTX+,47%
GeForce 830M,46%
NVS 4200M,45%
GeForce GT 330M,45%
GeForce 920MX,45%
GeForce GT 650M,43%
GeForce GT 540M,42%
GeForce GT 740M,41%
GeForce GT 630,40%
GeForce GTX 650,39%
GeForce GT 730M,39%
GeForce GT 330,39%
GeForce GT 525M,37%
GeForce GT 640M,35%
GeForce GT 720M,34%
GeForce 315M,32%
GeForce 840M,31%
GeForce GT 520MX,31%
GeForce GT 620M,31%
GeForce GT 720,29%
GeForce GT 610,27%
GeForce 310M,24%
NVS 315,21%
GF117,20%
Quadro 410,19%
GeForce 310,18%
GeForce GT 440,17%
GeForce 8600 GT,13%
GeForce GT 625M,13%
GeForce G102M,11%
GeForce GT 620,5%
